timestamp,estacao,classe_detectada,status,tempo_ciclo_s
2026-09-10T18:30:39.304352,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.67
2026-09-10T18:32:17.321279,camada_vermelha,camada_vermelha,OK,7.53
2026-09-10T18:32:20.344140,camada_vermelha,camada_vermelha,OK,3.02
2026-09-10T18:32:23.476242,camada_vermelha,camada_vermelha,OK,3.13
2026-09-10T18:32:26.644213,camada_vermelha,camada_vermelha,OK,3.17
2026-09-10T18:32:31.256021,camada_vermelha,camada_amarela,ALERTA_CAMADA_INCORRETA,4.61
2026-09-10T18:32:35.604718,camada_vermelha,camada_amarela,ALERTA_CAMADA_INCORRETA,4.35
2026-09-10T18:32:42.730032,camada_vermelha,camada_amarela,ALERTA_CAMADA_INCORRETA,7.13
2026-09-10T18:32:51.671228,camada_vermelha,camada_amarela,ALERTA_CAMADA_INCORRETA,8.94
2026-09-10T18:32:59.483627,camada_vermelha,camada_azul,ALERTA_CAMADA_INCORRETA,7.81
2026-09-10T18:33:02.489894,camada_vermelha,camada_azul,ALERTA_CAMADA_INCORRETA,3.01
